Symbol	Description
AAPL	Apple Cdr [Cad Hedged]
AAPU	Savvylong 2X Aapl ETF
AAUC	Allied Gold Corporation
AAUC.DB.U	Allied Gold Corporation 8.75%
AAV	Advantage Oil & Gas Ltd
AAV.DB	Advantage Energy Ltd 5.00 Pct Debs
ABHI	
ABRA	Abrasilver Resource Corp
ABX	Barrick Mining Corp
AC	Air Canada
ACAA	Arrow Canadian Advantage Alternative Class
ACB	Aurora Cannabis Inc
ACD	Accord Financial
ACD.DB	Accord Financial Corp 7.00 Pct Debs
ACO.X	Atco Ltd Cl I NV
ACO.Y	Atco Ltd Cl II
ACQ	Autocanada Inc
ACX	Act Energy Technologies Ltd
AD.DB.A	Alaris Eqty Part Inc Trust 6.25 Pct Debs
AD.DB.B	Alaris Eqty Part Inc Trust 6.50 Pct Debs
AD.UN	Alaris Equity Partners Income Trust
ADCO	Adcore Inc
ADEN	Adentra Inc
ADIV	Arrow Ec Eq Advtg Alternatv Fnd ETF
ADN	Acadian Timber Corp
ADW.A	Andrew Peller Ltd Cl A
ADW.B	Andrew Peller Ltd Cl B
AEG	Aegis Brands Inc
AEM	Agnico Eagle Mines Ltd
AEME	
AEP	
AFCC-H	
AFN	Ag Growth International Inc
AFN.DB.H	Ag Growth Intl Inc 5.25 Pct Debs
AFN.DB.I	Ag Growth International Inc 5 Pct Debs
AFN.DB.J	Ag Growth Intl Inc 5.20 Pct Debs
AFN.DB.K	Ag Growth International Inc 7.5 Pct Debs
AG	First Majestic Silver Corp
AGF.B	AGF Management Ltd Cl B NV
AGG	Evolve CDN Aggrgt Bond Enhd Yld Fund ETF
AGI	Alamos Gold Inc Cls A
AI	Atrium Mortgage Investment Corp
AI.DB.D	Atrium Mortgage Inv Corp 5.50 Pct Debs
AI.DB.F	Atrium Mortgage Inv Corp 5 Pct Debs
AI.DB.G	Atrium Mortgage Inv Corp 5.10 Pct Debs
AIDX	Healwell Ai Inc. Class A
AIF	Altus Group Ltd
AIGO	Global X Artificial Intelligence & Techn
AII	Almonty Industries Inc
AIM	Aimia Inc
AIM.PR.A	Aimia Inc Pref Ser 1
AIM.PR.C	Aimia Inc Pref Ser 3
AKT.A	Akita Drilling Ltd Cl A NV
ALA	AltaGas Ltd
ALA.PR.A	AltaGas Ltd Pref A
ALA.PR.B	AltaGas Ltd Pref Ser B
ALA.PR.G	AltaGas Ltd Pref G
ALC	Algoma Central
ALDE	
ALEX	
ALK	
ALPU	Savvylong 2X Googl ETF
ALS	Altius Minerals Corp
ALV	
ALYA	Alithya Group
AMAX	Hamilton Gold Producer Yld Maximizer ETF
AMC	Arizona Metals Corp
AMD	Advanced Micro Devices Cdr [Cad Hedged]
AMDY	Harvest Amd Enhd High Income Shares ETF
AMHE	Harvest Amazon Enhanced High Inc Shs ETF
AMHE.U	Harvest Amazon Enhanced HI Shs ETF USD
AMM	Almaden Minerals Ltd
AMZH	Harvest Amazon High Income Shares ETF (C
AMZH.U	Harvest Amazon High Income Shares ETF (C
AMZN	Amazon.com Cdr [Cad Hedged]
AMZU	Savvylong 2X Amzn ETF
AND	Andlauer Healthcare Group Inc
ANRG	Anaergia Inc
AOT	Ascot Resources Ltd
AP.UN	Allied Properties Real Estate Inv Trust
APLE	Harvest Apple Enhncd High Incm Shrs ETF
APLI	Appili Therapeutics Inc
APM	Andean Precious Metals Corp
APR.UN	Automotive Properties REIT
APS	Aptose Biosciences Inc
AQN	Algonquin Power and Utilities Corp
AQN.PR.A	Algonquin Power and Utilities Pref A
AQN.PR.D	Algonquin Power and Utilities Pref D
ARA	Aclara Resources Inc
ARB	Accelerate Arbitrage Fund ETF
ARC	
ARE	Aecon Group Inc
ARG	Amerigo Resources Ltd
ARIS	Aris Gold Corporation
ARIS.WT.A	Aris Mining Corporation WT
ARTG	
ARTI	Evolve Artificial Intelligence Fund
ARX	Arc Resources Ltd
ASCU	Arizona Sonoran Copper Company Inc
ASM	Avino Silver and Gold Mines Ltd
ASTL	Algoma Steel Group Inc
ASTL.WT	Algoma Steel Group Inc
ATCU	Candente Copper Corp
ATD	Alimentation Couche-Tard Inc.
ATH	Athabasca Oil Corp
ATMD	Betapro Eql Weight Cnd Bank 2X Bear ETF
ATMU	Betapro Eql Weight Cnd Bank 2X Bull ETF
ATRL	Atkinsrealis Group Inc
ATS	Ats Corp
ATSX	Accelerate Enhanced CDN Bm Alt Fund ETF
ATZ	Aritzia Inc
AUGB.F	First Trst CBOE Vest US Eqty Buffer ETF
AUMN	Golden Minerals Company
AVCN	Avicanna Inc
AVGY	Harvest Broadcom Enhd Hgh Incme Shrs ETF
AVL	Avalon Advanced Materials Inc
AVNT	Avant Brands Inc
AW	A W Food Services of Canada Inc
AX.PR.E	Artis REIT Pref Ser E
AX.PR.I	Artis REIT Pref Series I
AX.UN	Artis Real Estate Investment Trust Units
AYA	Aya Gold and Silver Inc
BAAA	Brompton Wellington Square AAA Clo ETF
BAAA.U	
BAM	Brookfield Asset Management Ltd
BAMI	
BANK	Evolve CDN Banks Lifecos Enh Yld Idx ETF
BASE	Evolve Glob Matls Mining Enh Yld Idx ETF
BASE.B	Evolve Glob Matls Mining Enh Yld Unhgd
BB	Blackberry Ltd
BBD.A	Bombardier Inc Cl A Mv
BBD.B	Bombardier Inc Cl B Sv
BBD.PR.B	Bombardier 2 Pr
BBD.PR.C	Bombardier Inc Pref Class C
BBD.PR.D	Bombardier Inc Pref Ser 3
BBU.UN	Brookfield Business Partners LP
BBUC	Brookfield Business Corporation
BCE	BCE Inc
BCE.PR.A	BCE First Pr Shares Series AA
BCE.PR.B	BCE Inc First Pr Shares Series Ab
BCE.PR.C	BCE Inc Pr Shares Series AC
BCE.PR.D	BCE Inc Pref Shares Series Ad
BCE.PR.E	BCE 1st Pref Shares Series Ae
BCE.PR.F	BCE 1st Pref Shares Series Af
BCE.PR.G	BCE 1st Pref Shares Series Ag
BCE.PR.H	BCE 1st Pref Shares Series Ah
BCE.PR.I	BCE 1st Pref Shares Series Ai
BCE.PR.J	BCE Inc Pref Sh Series Aj
BCE.PR.K	BCE Inc Pref Ser AK
BCE.PR.L	BCE Inc Pref Ser AL
BCE.PR.M	BCE Inc Pref Shares Series Am
BCE.PR.N	BCE Inc Pref Shares Series An
BCE.PR.Q	BCE Inc Pref Shares Series Aq
BCE.PR.R	BCE Inc Ser R
BCE.PR.S	BCE Inc Ser S
BCE.PR.T	BCE Inc First Pref Series T
BCE.PR.Y	BCE Inc Ser Y Pr
BCE.PR.Z	BCE Inc Series Z
BCEE	
BCHI	
BCHT	Birchtech Corp
BCT	Briacell Therapeutics Corp
BDGI	Badger Infrastructure Solutions Ltd
BDI	Black Diamond Group Ltd
BDIV	Brompton Global Dividend Growth ETF
BDT	Bird Construction Inc
BEI.UN	Boardwalk Real Estate Investment Trust
BEK.B	Becker Milk Company Ltd Cl B NV
BEP.PR.G	Brookfield Renewable LP Pref Ser 7
BEP.PR.M	Brookfield Renewable LP Pref Ser 13
BEP.PR.R	Brookfield Renewable Partners LP
BEP.UN	Brookfield Renewable Partners LP
BEPC	Brookfield Renewable Corp
BEPR	Brompton Flaherty & Crumrine Enhanced IN
BEPR.U	Brompton Flaherty Crumine Enh Pr ETF USD
BESG	Invesco ESG CDN Core Plus Bond ETF
BEW	
BFIN	Brompton Na Financials Dividend ETF
BGC	Bristol Gate Concentrated CDN Eqty ETF
BGI.UN	Brookfield Glbl Infras Sec Inc Fd
BGIE	Brompton Global Infrastructure ETF
BGU	Bristol Gate Concentrated US Eqty ETF
BGU.U	Bristol Gate Conc US Eqty ETF USD
BHC	Bausch Health Companies Inc
BIP.PR.B	Brookfield Infra Partners LP Pref Ser 3
BIP.PR.E	Brookfield Infra Partners LP Pref Ser 9
BIP.PR.F	Brookfield Infra Partners LP Pref Ser 11
BIP.UN	Brookfield Infra Partners LP Units
BIPC	Brookfield Infrastructure Corp
BIR	Birchcliff Energy Ltd
BITF	Bitfarms Ltd
BITI	Betapro Inverse Bitcoin ETF
BITI.U	Betapro Inverse Bitcoin ETF USD
BK	Canadian Banc Corp
BK.PR.A	Canadian Banc Corp Pref A
BKCC	GX Equal Weight CDN Bank Cvrd Call ETF
BKCL	GX Enhanced Equal Weight CDN Banks Cvrd Call ETF
BKI	Black Iron Inc
BLCK	First Trust Indxx Innov Trans Proc ETF
BLCO	Bausch Lomb Corporation
BLDP	Ballard Power Systems Inc
BLN	Blackline Safety Corp
BLOV	Brompton Na Low Volatility Dividend ETF
BLX	Boralex Inc
BMAX	Brompton Enhanced Multi Asset Income ETF
BMO	Bank of Montreal
BMO.PR.E	BMO Pref Shares Series 44
BMO.PR.Y	Bank of Montreal Pref Ser 33
BN	Brookfield Corporation
BN.PF.A	Brookfield Corporation Pref Ser 32
BN.PF.B	Brookfield Corporation Pref Ser 34
BN.PF.C	Brookfield Corporation Pref Ser 36
BN.PF.D	Brookfield Corporation Pref Ser 37
BN.PF.E	Brookfield Corporation Pref Ser 38
BN.PF.F	Brookfield Corporation Pref Ser 40
BN.PF.G	Brookfield Corporation Pref Ser 42
BN.PF.H	Brookfield Corporation Pref Ser 44
BN.PF.I	Brookfield Corporation Pref Ser 46
BN.PF.J	Brookfield Corporation Pref Ser 48
BN.PF.K	Brookfield Corporation Pref Ser 51
BN.PF.L	Brookfield Corporation Pref Ser 52
BN.PR.B	Brookfield Corporation Pref Ser 2
BN.PR.C	Brookfield Corporation Pref Ser 4
BN.PR.K	Brookfield Corporation Pref Ser 13
BN.PR.M	Brookfield Corporation Pref Ser 17
BN.PR.N	Brookfield Corporation Pref Ser 18
BN.PR.R	Brookfield Corporation Pref Ser 24
BN.PR.T	Brookfield Corporation Pref Ser 26
BN.PR.X	Brookfield Corporation Pref Ser 28
BN.PR.Z	Brookfield Corporation Pref Ser 30
BNC	Purpose CDN Financial Income Fund ETF
BND	Purpose Tactical Inv Grade Bond ETF
BNE	Bonterra Energy Corp
BNG	Bengal Energy Ltd
BNK	Big Banc Split Corp Cl A
BNK.PR.A	Big Banc Split Corp
BNKL	GX Enhanced Equal Weight Banks Idx ETF
BNKU	Megalong 3X CDN Banks Dly Lvg Altern ETF
BNS	Bank of Nova Scotia
BNT	Brookfield Wealth Solutions Ltd
BOND	Evolve Enhanced Yield Bond Fund ETF
BOND.B	Evolve Enhanced Yield Bond Fund
BOND.U	Evolve Enhanced Yld Bd Fund Unhg ETF USD
BOS	Airboss America J
BPF.UN	Boston Pizza Royalties Income Fund
BPO.PR.A	Brookfield Office Properties Pref Ser AA
BPO.PR.C	Brookfield Office Properties Pref Ser CC
BPO.PR.E	Brookfield Office Properties Pref Ser Ee
BPO.PR.G	Brookfield Office Properties Pref Ser G
BPO.PR.I	Brookfield Office Properties Pref Ser II
BPO.PR.N	Brookfield Office Properties Pref Ser N
BPO.PR.P	Brookfield Office Properties Pref Ser P
BPO.PR.R	Brookfield Office Properties Pref Ser R
BPO.PR.T	Brookfield Office Properties Pref Ser T
BPO.PR.W	Brookfield Office Properties Pref Ser W
BPO.PR.X	Brookfield Office Properties Pref Ser V
BPO.PR.Y	Brookfield Office Properties Pref Ser Y
BPRF	Bf and Crumrine Invest Grade Pref ETF
BPRF.U	Bf and Crumrine Invgrade Pref ETF USD
BPS.PR.A	Brookfield Property Split Pref Ser 2
BPS.PR.B	Brookfield Property Split Pref Ser 3
BPS.PR.C	Brookfield Property Split Pref Ser 4
BPS.PR.U	Brookfield Property Split Pref Ser 1
BPYP.PR.A	Brookfield Property Preferred L.P.
BR	Big Rock Brewery Inc
BRAG	Bragg Gaming Group Inc
BRE	Bridgemarq Real Estate Services Inc
BRF.PR.A	Brookfield Renewable Pref Cl A Ser 1
BRF.PR.B	Brookfield Renewable Pref Cl A Ser 2
BRF.PR.C	Brookfield Renewable Power Pref Eqty Inc
BRF.PR.E	Brookfield Renewable Power Pref Eqt Sr 5
BRF.PR.F	Brookfield Renewable Power Pref Eqt Sr 6
BRK	Berkshire Hathaway Cdr [Cad Hedged]
BRMI	Boat Rocker Media Inc
BRY	Bri Chem Corp
BSKT	Manulife Smart Core Bond ETF
BSX	Belo Sun Mining Corp
BTB.DB.I	Btb REIT 7.25 Pct Debs
BTB.UN	Btb REIT Units
BTCC	Purpose Bitcoin ETF Currency Hgd
BTCC.B	Purpose Bitcoin ETF [Cad ETF Non-Currenc
BTCC.J	Purpose Bitcoin Carbon Offset ETF
BTCC.U	Purpose Bitcoin ETF [Usd ETF Non-Currenc
BTCO.B	Purpose Core Bitcoin Hdg ETF
BTCO.U	Purpose Core Bitcoin Hdg ETF USD
BTCQ	3iQ Coinshares Bitcoin ETF
BTCQ.U	3iQ Coinshares Bitcoin ETF USD
BTCX	
BTCX.B	CI Galaxy Bitcoin ETF
BTCX.U	CI Galaxy Bitcoin ETF USD
BTCY	Purpose Bitcoin Yield ETF
BTCY.B	Purpose Bitcoin Yield ETF
BTCY.U	Purpose Bitcoin Yield ETF USD
BTE	Baytex Energy Corp
BTO	B2Gold Corp
BU	Burcon Nutrascience Corp
BXF	CI 1 To 5 Yr Lad Gov Stp Bd ETF
BYD	Boyd Group Services Inc
BYL	Baylin Technologies Inc
BYL.DB	Baylin Technologies Inc 6.5 Pct Debs
CACB	CIBC Active Invst Grade Corp Bond ETF
CAE	Cae Inc
CAFR	CIBC Act Invst Grade Float Rate Bond ETF
CAGG	CI Yield Enh CDN Agrt Bond ETF
CAGS	CI Yld Enh CDN ST Agg Bd Idx ETF
CALL	Evolve US Banks Enhanced Yield ETF
CALL.B	Evolve US Banks Enhanced Yield Unheg
CALL.U	Evolve US Banks Enhanced Yld Fd ETF USD
CANL	GX Enhanced S&P/Tsx 60 Index ETF
CAPG	Capital Group Global Equity Select ETF
CAPI	Capital Group International Equity Selec
CAPM	Group Multi-Sector Income Select ETF
CAPW	Capital Group World Bond Select ETF
CAR.UN	CDN Apartment Un
CARS	Evolve Automobile Innovation Idx Hgd ETF
CARS.B	Evolve Automobile Innovation Idx Uh ETF
CARS.U	Evolve Automobile Innovation Idx Fd USD
CAS	Cascades Inc
CASH	GX High Interest Savings ETF
CBAL	CI Balanced Asset Allocation ETF
CBCX	CI Galaxy Blockchain ETF
CBGR	CI Balanced Growth Asset Allocation ETF
CBH	Ishares 1-10 Yr Laddered Corp Bond ETF
CBIL	GX 0-3 Month T-Bill ETF
CBIL.U	Global X 0 To 3 Month T Bill ETF USD
CBIN	CI Balanced Income Asset Allocation ETF
CBND	Manulife Smart Corporate Bond ETF
CBNK	Mulvihill Canadian Bank Enhanced Yield E
CBO	Ishares 1-5Yr Laddered Corp Bond ETF
CBUG	CI Digital Security ETF
CCA	Cogeco Communications Inc
CCAD	CIBC Premium Cash Management ETF
CCBI	CIBC Canadian Bond Index ETF
CCCB	
CCDC	
CCEI	CIBC Canadian Equity Index ETF
CCHI	
CCL.A	Ccl Inc Cl A
CCL.B	Ccl Industries Inc Cl B NV
CCM	Canagold Resources Ltd
CCNS	CIBC Conservative Fixed Income Pool ETF
CCNV	CI Conservative Asset Allocation ETF
CCO	Cameco Corp
CCOE	
CCOM	CI Auspice Broad Commodity ETF
CCRE	CIBC Core Fixed Income Pool ETF
CCS.PR.C	Co-Operators Gen Ins Cl E Prf
CDEF	Manulife Smart Defensive Equity ETF
CDIV	Manulife Smart Dividend ETF
CDLB	CI Doubleline Total Return Bnd US HD ETF
CDLB.U	CI Doubleline Total Return Bond US$ Fund
CDR	Condor Energies Inc
CDZ	Ishares S&P TSX CDN Dividend ETF
CEF	Sprott Physical Gold Silver Trust
CEF.U	Central Fund of Canada Ltd Cl U NV
CEMI	CIBC Emerging Markets Equity Index ETF
CEMX	Cematrix Corporation
CEQT	CI Equity Asset Allocation ETF
CEQY	
CERT	
CEU	Ces Energy Solutions Corp
CEW	Ishares Equal Weight Banc Lifeco ETF
CF	Canaccord Genuity Group Inc
CF.PR.A	Canaccord Genuity Group Inc Pref A
CF.PR.C	Canaccord Genuity Group Inc Pref C
CFF	Conifex Timber Inc
CFLX	CIBC Flexible Yield ETF Hedged
CFOD	Betapro S&P TSX Cap Fncl 2X Dly Bear ETF
CFOU	Betapro S&P TSX Cap Fncl 2X Dly Bull ETF
CFP	Canfor Corp
CFRT	CI Floating Rate Income Fund
CFW	Calfrac Well Services Ltd
CFX	Canfor Pulp Products Inc
CG	Centerra Gold Inc
CGAA	CI Glb Asset Allocation ETF
CGBI	CIBC Global Bond Ex Can Idx ETF
CGDI	
CGDV	CI Global Min Downside Vol Index ETF
CGDV.B	CI Global Min Downside Vol Index Uh ETF
CGG	China Gold Int Resources Corp
CGHY	CI Global High Yld Cdt Pvt Pool ETF
CGHY.U	CI High Yld Bnd Pvt Pool ETF USD
CGI	CDN General Inv
CGIN	CI Global Investment Grade ETF
CGIN.U	CI Global Investment Grade ETF USD
CGL	Ishares Gold Bullion ETF Hdg
CGL.C	Ishares Gold Bullion ETF Non Hdg
CGLO	CIBC Global Growth ETF
CGMD	Megashort -3X CDN Gld Mnr Dly Lv Alt ETF
CGMU	Megalong 3X CDN Gld Mnrs Dly Lvg Alt ETF
CGO	Cogeco Inc Sv
CGR	Ishares Global Real Estate ETF
CGRA	CI Global Real Asset Private Pool ETF
CGRE	CI Global REIT Private Pool ETF
CGRN	CI Gbl Susble Infra Fund ETF
CGRN.U	CI Global Sustainable Infrastructure Fund
CGRO	CI Growth Asset Allocation ETF
CGX	Cineplex Inc
CGX.DB.B	Cineplex Inc Debs
CGXF	CI Gld Giants Cvr Call ETF
CGXF.U	CI Gld Giants Cvr Call ETF USD
CGY	Calian Group Ltd
CHE.DB.E	Chemtrade Logistics If 6.50 Pct Debs
CHE.DB.G	Chemtrade Logistics Incme Fund 6.25 Debs
CHE.DB.H	Chemtrade Logistics Incme Fd 7 Pct Debs
CHE.UN	Chemtrade Logistics Income Fund
CHNA.B	CI Icbccs SP China 500 Index ETF NH
CHP.UN	Choice Properties REIT
CHPS	GX Semiconductor Index ETF
CHPS.U	GX Semiconductor Index ETF USD
CHR	Chorus Aviation Inc
CHR.DB.B	Chorus Aviation Inc 6.00 Pct Debs
CHR.DB.C	Chorus Aviation Inc 5.75 Pct Debs C
CIA	Champion Iron Ltd
CIAI	CI Global Artificial Intelligence ETF
CIBR	First Trust Nasdaq Cybersecurity ETF
CIC	CI Can Banks Cov Call Income Class ETF
CIEH	CIBC International Equity Index ETF
CIEI	CIBC International Equity Index ETF
CIEM	CI Emerging Markets Alpha ETF
CIEM.U	CI Emerging Markets Alpha Hg ETF USD
CIF	Ishares Global Infrastructure Index ETF
CIGI	Colliers International Group Inc
CINF	CI Global Infrastructure Pvt Pool ETF
CINT	CIBC International Equity ETF
CINV	CI Global Alpha Innovation ETF
CINV.U	CI Global Alpha Innovation ETF USD
CIU.PR.A	Cu Inc Pref Shares
CIU.PR.C	Cu Inc Pref Ser 4
CIX	CI Financial Corp
CJ	Cardinal Energy Ltd
CJ.DB	Cardinal Energy Ltd 7.75 Pct Debs
CJ.DB.A	Cardinal Energy Ltd 8.25 Pct Debs
CJ.WT	Cardinal Energy Ltd Wts
CJR.B	Corus Entertainment Inc Cl B NV
CJT	Cargojet Inc
CJT.DB.F	Cargojet Inc 5.25 Pct Debs
CKI	Clarke Inc
CLDN	Savvyshort Geared Crude Oil ETF
CLF	Ishares 1-5 Yr Ladder Govt Bond ETF
CLG	Ishares 1-10 Yr Ladder Govt Bond ETF
CLML	CI Global Climate Leaders Fund ETF
CLML.U	CI Global Climate Leaders Fund ETF USD
CLS	Celestica Inc Sv
CLSA	Brompton Split Corp Class A Share ETF
CLUP	Savvylong Geared Crude Oil ETF
CM	Canadian Imperial Bank of Commerce
CM.PR.Q	CIBC Pref Ser 43
CM.PR.S	CIBC Pref Series 47
CMAG	CI Munro Alt Global Growth Fund
CMAG.U	CI Munro Alt Global Growth Fund USD
CMAR	CI Marret Alt Absolute Return Bond Fund
CMAR.U	CI Marret Alt Absolute Rtrn Bnd ETF USD
CMCX	
CMCX.B	CI Galaxy Multi Crypto ETF
CMCX.U	CI Galaxy Multi Crypto Unhgd ETF USD
CMDO	CI Alternative Diversified Opp ETF
CMDO.U	CI Alternative Diversified Opp ETF USD
CMEY	CI Marret Alternative Enhanced Yield ETF
CMG	Computer Modelling Group Ltd
CMGG	CI Munro Global Gwth Equity Fund ETF CAD
CMGG.U	CI Munro Global Growth Equity Fund
CMNY	CI Money Market ETF
CMOM	CI US Enhanced Momentum Ind Heg ETF
CMOM.B	CI US Enhanced Momentum Ind Unheg ETF
CMR	Ishares Premium Money Market ETF
CMVP	Hamilton Champions CDN Dividend Indx ETF
CNAO	CI Alternative Na Opps Fund ETF
CNCC	GX S&P/Tsx 60 Covered Call ETF
CNCL	GX Enhanced S&P/Tsx 60 Covered Call ETF
CNDD	Betapro S&P TSX 60 2X Daily Bear ETF
CNDI	Betapro S&P TSX 60 Daily Inverse ETF
CNDU	Betapro S&P TSX 60 2X Daily Bull ETF
CNDX	Global X S&P/Tsx 60 Index ETF Class A Un
CNE	Canacol Energy Ltd
CNL	Collective Mining Ltd
CNQ	Canadian Natural Resources Ltd.
CNQE	
CNR	Canadian National Railway Co.
CNT	Century Global Commodities Corp
CNV	Franklin Conservtv Income ETF Portfolio
CNYE	Harvest Coinbase Enhd Hgh Incme Shrs ETF
COIU	
COLA	Coca-Cola Cdr [Cad Hedged]
COMM	BMO Global Communications Index ETF
CONY	Harvest Coinbase High Income Shares ETF
COP.U	Sprott Physical Copper Trust
COP.UN	Sprott Physical Copper Trust
COPP	GX Copper Producers Index ETF
COPR	Coppernico Metals Inc.
CORE	Pimco Canadian Core Bond Fund
COST	Costco Cdr [Cad Hedged]
COSY	Harvest Costco Enhd High Income Shrs ETF
COW	Ishares Global Agri Index ETF
CP	Canadian Pacific Kansas City Ltd
CPD	Ishares S&P TSX CDN Pref ETF
CPH	Cipher Pharmaceuticals Inc
CPLS	CIBC Core Plus Fixed Income Pool ETF
CPX	Capital Power Corp
CPX.PR.A	Capital Power Corp Pref Ser 1
CPX.PR.C	Capital Power Corp Pref Ser 3
CPX.PR.E	Capital Power Corp Pref Ser 5
CQHI	
CRDL	Cardiol Therapeutics Inc
CRED	CI Lawrence Park Alt Invest Grd Crdt ETF
CRHI	
CRON	Cronos Group Inc
CROP	Purpose Credit Opportunities Fund ETF
CROP.U	Purpose Credit Opportunities Fund
CRR.UN	Crombie Real Estate Investment Trust
CRRX	Carerx Corp
CRT.UN	CT Real Estate Investment Trust
CRWN	Crown Capital Partners Inc
CRWN.NT	Crown Capital Partners Inc 10 Pct Debs
CS	Capstone Mining Corp
CSAV	CI High Interest Savings ETF
CSBI	CIBC CDN Short Term Bond Index ETF
CSCI	Cosciens Biopharma Inc
CSCO	Cisco Cdr [Cad Hedged]
CSE.PR.A	Capstone Infrastructure Corp Pref A
CSH.UN	Chartwell Retirement Residences
CSOC-A	
CSOC-B	
CSTL-P	
CSU	Constellation Software Inc
CSU.DB	Constellation Software Inc Debs Ser 1
CSW.A	Corby Spirit and Wine Ltd Class A
CSW.B	Corby Spirit and Wine Ltd Class B
CTC	Canadian Tire Corp Ltd
CTC.A	Canadian Tire Corp Cl A NV
CTEK	
CTF.UN	Citadel Income Fund
CTX	Crescita Therapeutics Inc
CU	Canadian Utilities Ltd Cl A NV
CU.PR.C	Canadian Utilities Ltd Pref Ser C
CU.PR.D	Canadian Utilities Ltd Pr Series AA
CU.PR.E	Canadian Utilities Ltd Pref Ser Bb
CU.PR.F	Canadian Utilities Ltd Pref Ser CC
CU.PR.G	Canadian Utilities Ltd Pref Ser Dd
CU.PR.H	Canadian Utilities Ltd Pref Ser Ee
CU.PR.I	Canadian Utilities Ltd Pref Ser Ff
CU.PR.J	Canadian Utilities Cumulative Redeemable Second
CUBD	CI Global Unconstrained Bond Fund ETF
CUD	Ishares S&P US Div Growers ETF
CUDC	
CUDC.F	
CUDV	CI U.S. Minimum Downside Volatility Index ETF
CUEH	CIBC US Equity Index ETF
CUEI	CIBC US Equity Index ETF
CUIG	
CUP.U	Caribbean Util US
CURA	Curaleaf Holdings Inc
CUSD.U	CIBC USD Premium Cash Management ETF USD
CUSN	
